checkpoint_success_rate,cosine_all,cosine_policy,cosine_shared,cosine_value,current_batch_mean_reward,diversity,event,norm_current_all,norm_current_policy,norm_current_shared,norm_current_value,norm_previous_all,norm_previous_policy,norm_previous_shared,norm_previous_value,phase,phase_env_steps,phase_fraction,previous_batch_mean_reward,previous_distribution_count,seed,total_env_steps,wall_time_seconds,subsequent_specialization_gain
0.642578125,0.24341025948524475,0.2339005023241043,0.3989798426628113,-0.5929178595542908,0.00762939453125,1,gradient_diagnostic,0.06950882822275162,0.05228174477815628,0.044728681445121765,0.009871222078800201,0.09235329180955887,0.07055430114269257,0.049896515905857086,0.03258156776428223,2,50331648,1.0,0.00323486328125,1,4,100663296,120.85198497772217,-0.0888671875
1.0,0.1788766086101532,0.2998715937137604,0.11348734050989151,-0.08817742764949799,0.014556884765625,1,gradient_diagnostic,0.3441416621208191,0.2579095661640167,0.21349968016147614,0.07958665490150452,0.08181562274694443,0.04621373489499092,0.0653090626001358,0.017111793160438538,3,0,0.0,0.0062255859375,2,4,100663296,128.6766333580017,-0.2138671875
0.919921875,0.08008839935064316,0.060814838856458664,0.14048825204372406,0.47599658370018005,0.014801025390625,1,gradient_diagnostic,0.10691359639167786,0.09907304495573044,0.03954929858446121,0.007134726736694574,0.0930972620844841,0.07853217422962189,0.039869993925094604,0.03016922064125538,3,25165824,0.5,0.0059814453125,2,4,125829120,791.9020347595215,-0.1337890625
1.0,0.21246561408042908,0.2844611704349518,0.00436733802780509,0.7119227647781372,0.01495361328125,1,gradient_diagnostic,0.1895342618227005,0.18733000755310059,0.02743888832628727,0.008820908144116402,0.09270141273736954,0.06526422500610352,0.05256196856498718,0.03964053466916084,3,50331648,1.0,0.004913330078125,2,4,150994944,1458.9802284240723,-0.2138671875
0.998046875,-0.13837748765945435,-0.1812884509563446,0.011238796636462212,-0.13298632204532623,0.01409912109375,1,gradient_diagnostic,0.1421634405851364,0.11337196081876755,0.038848236203193665,0.07647261023521423,0.09162195026874542,0.07679471373558044,0.04387794807553291,0.02391396276652813,4,0,0.0,0.007049560546875,3,4,150994944,1473.2225897312164,-0.2158203125
1.0,0.12623783946037292,0.28234750032424927,0.03454146906733513,-0.25676029920578003,0.013702392578125,1,gradient_diagnostic,0.11160073429346085,0.10062865912914276,0.04753660783171654,0.008298754692077637,0.07385562360286713,0.038176294416189194,0.03833584487438202,0.050275109708309174,4,25165824,0.5,0.007843017578125,3,4,176160768,2153.339777469635,-0.2177734375
1.0,0.17035135626792908,0.27084898948669434,0.3019256293773651,0.08627385646104813,0.017333984375,1,gradient_diagnostic,0.03035162016749382,0.028157487511634827,0.009982875548303127,0.005359007511287928,0.06587961316108704,0.03167380765080452,0.024870947003364563,0.052137602120637894,4,50331648,1.0,0.006988525390625,3,4,201326592,263.70550298690796,-0.2177734375
0.310546875,0.6535056829452515,0.6693649888038635,0.6493180394172668,0.6116893887519836,0.0023193359375,4,gradient_diagnostic,0.10316254198551178,0.08857035636901855,0.05261150002479553,0.005461781285703182,0.08770494163036346,0.08223854750394821,0.029688270762562752,0.006898166611790657,2,0,0.0,0.011871337890625,1,0,50331648,6.391007423400879,-0.01953125
0.287109375,0.09101283550262451,-0.03391842171549797,0.32063913345336914,0.27958032488822937,0.0028076171875,4,gradient_diagnostic,0.05573685094714165,0.04827669635415077,0.02735019475221634,0.005284303333610296,0.05470947548747063,0.037263158708810806,0.0354684554040432,0.018616462126374245,2,25165824,0.5,0.009857177734375,1,0,75497472,691.4231722354889,0.00390625
0.384765625,0.019103748723864555,-0.025895655155181885,0.04957365617156029,0.4593951106071472,0.002655029296875,4,gradient_diagnostic,0.05378163233399391,0.043039336800575256,0.0321185439825058,0.002911831485107541,0.06397129595279694,0.03759698197245598,0.03937177732586861,0.0335954912006855,2,50331648,1.0,0.013427734375,1,0,100663296,1390.551649570465,-0.09375
0.595703125,0.19119824469089508,0.4425446689128876,-0.06471462547779083,0.8609719276428223,0.006439208984375,4,gradient_diagnostic,0.12087826430797577,0.04329139366745949,0.10290687531232834,0.046342045068740845,0.039741192013025284,0.028500394895672798,0.024248672649264336,0.01338251680135727,3,0,0.0,0.0050048828125,2,0,100663296,1397.602066040039,-0.0703125
0.58203125,0.11898654699325562,-0.10860107839107513,0.3159666955471039,0.6196830868721008,0.005706787109375,4,gradient_diagnostic,0.06277447193861008,0.04448780044913292,0.042247526347637177,0.01328969281166792,0.10969661921262741,0.07330416142940521,0.08078639209270477,0.011550153605639935,3,25165824,0.5,0.0047607421875,2,0,125829120,2086.5869057178497,-0.056640625
0.591796875,0.0806184858083725,0.07604333013296127,0.10112983733415604,0.7939390540122986,0.006256103515625,4,gradient_diagnostic,0.05619192123413086,0.04605702683329582,0.03006882406771183,0.011495586484670639,0.2034084051847458,0.050127409398555756,0.19646255671977997,0.016269121319055557,3,50331648,1.0,0.00433349609375,2,0,150994944,146.42462253570557,-0.06640625
0.482421875,0.06690190732479095,0.34002235531806946,-0.17275448143482208,0.42591482400894165,0.004547119140625,4,gradient_diagnostic,0.11049053817987442,0.07719800621271133,0.07300961762666702,0.03030218742787838,0.06663773208856583,0.03658967465162277,0.053373079746961594,0.01590905711054802,4,0,0.0,0.005157470703125,3,0,150994944,154.44414234161377,-0.0810546875
0.505859375,-0.046597253531217575,-0.1768726110458374,-0.13556820154190063,0.8150384426116943,0.0035400390625,4,gradient_diagnostic,0.0662192776799202,0.051707491278648376,0.03843669593334198,0.015295365825295448,0.08529447019100189,0.051413584500551224,0.055271558463573456,0.039709508419036865,4,25165824,0.5,0.00579833984375,3,0,176160768,832.8769974708557,-0.1044921875
0.46875,0.1694795787334442,0.19479624927043915,0.1800425946712494,0.26653358340263367,0.004638671875,4,gradient_diagnostic,0.04543669894337654,0.040155861526727676,0.021194368600845337,0.0016729976050555706,0.07909231632947922,0.047605548053979874,0.05957133322954178,0.020989565178751945,4,50331648,1.0,0.006622314453125,3,0,201326592,1507.405532360077,-0.0673828125
0.357421875,0.004035358317196369,0.08439289033412933,-0.12496509402990341,0.2024972289800644,0.002197265625,4,gradient_diagnostic,0.1922009140253067,0.1385950893163681,0.13121828436851501,0.022679420188069344,0.10444634407758713,0.08635589480400085,0.058414969593286514,0.006276150234043598,2,0,0.0,0.01031494140625,1,1,50331648,2235.499805688858,-0.0791015625
0.345703125,0.4156342148780823,0.4999377727508545,0.2782052457332611,0.5158869624137878,0.002288818359375,4,gradient_diagnostic,0.08511724323034286,0.07958720624446869,0.02987770549952984,0.004259711131453514,0.10931814461946487,0.08157680183649063,0.06777431815862656,0.026501400396227837,2,25165824,0.5,0.010986328125,1,1,75497472,479.5169174671173,-0.0673828125
0.38671875,0.023962974548339844,0.03952418640255928,-0.15639109909534454,0.2881639897823334,0.002532958984375,4,gradient_diagnostic,0.14163696765899658,0.13892270624637604,0.02307060919702053,0.015141147188842297,0.07792561501264572,0.04124761000275612,0.04640946164727211,0.04708712920546532,2,50331648,1.0,0.01171875,1,1,100663296,1266.669088602066,-0.1083984375
0.58984375,0.4667116105556488,0.7053845524787903,-0.07832132279872894,-0.2953389286994934,0.0067138671875,4,gradient_diagnostic,0.08279048651456833,0.06723175197839737,0.041880443692207336,0.024087024852633476,0.08063171058893204,0.07103494554758072,0.03193606808781624,0.020870963111519814,3,0,0.0,0.00439453125,2,1,100663296,1299.6534976959229,-0.05078125
