diversity,seed,run,phase,interval,predictor_fraction,start_success,end_success,interval_gain,start_depth6,end_depth6,interval_gain_depth6,cosine_all,norm_current_all,norm_previous_all,cosine_shared,norm_current_shared,norm_previous_shared,cosine_policy,norm_current_policy,norm_previous_policy,cosine_value,norm_current_value,norm_previous_value
4,4,n4_seed4,2,mid_to_end,0.5,0.29296875,0.2724609375,-0.0205078125,0.0,0.0,0.0,0.45727935433387756,0.06339289993047714,0.09697292000055313,0.027068857103586197,0.018228374421596527,0.028393667191267014,0.681763231754303,0.059714894741773605,0.0791492611169815,-0.8019143342971802,0.01097805891185999,0.04830053821206093
4,4,n4_seed4,3,start_to_mid,0.0,0.546875,0.5458984375,-0.0009765625,0.0,0.0,0.0,0.41666126251220703,0.1049671396613121,0.08426831662654877,0.030870189890265465,0.06364428997039795,0.04023323953151703,0.5738062858581543,0.07957322895526886,0.07209242880344391,0.7394307255744934,0.025211218744516373,0.016885435208678246
4,4,n4_seed4,3,mid_to_end,0.5,0.5458984375,0.5517578125,0.005859375,0.0,0.0,0.0,0.183513805270195,0.09378161281347275,0.10158742964267731,0.09350200742483139,0.05524354428052902,0.04027266055345535,0.1991472840309143,0.07425546646118164,0.09250077605247498,0.9566178917884827,0.015141555108129978,0.01190484594553709
4,4,n4_seed4,4,start_to_mid,0.0,0.390625,0.404296875,0.013671875,0.0,0.0,0.0,0.38416650891304016,0.11908581107854843,0.07276307791471481,0.40730032324790955,0.08538223057985306,0.052484624087810516,0.3420947194099426,0.07981782406568527,0.049676563590765,0.759946346282959,0.022812722250819206,0.008489317260682583
4,4,n4_seed4,4,mid_to_end,0.5,0.404296875,0.38671875,-0.017578125,0.0,0.0,0.0,0.11661862581968307,0.08246441185474396,0.11197022348642349,0.1579369157552719,0.05287047475576401,0.06999769061803818,0.0888831615447998,0.06312606483697891,0.0862976536154747,0.1307651549577713,0.004493572283536196,0.013797460123896599
16,0,n16_seed0,2,start_to_mid,0.0,0.5126953125,0.5146484375,0.001953125,0.0,0.0,0.0,0.7022398710250854,0.06889414042234421,0.05298379063606262,0.8081541657447815,0.03895893692970276,0.02607494592666626,0.6642754077911377,0.05672692507505417,0.046082764863967896,0.9316922426223755,0.0032648274209350348,0.0019385949708521366
16,0,n16_seed0,2,mid_to_end,0.5,0.5146484375,0.509765625,-0.0048828125,0.0,0.0,0.0,0.6569029092788696,0.04476887360215187,0.057817596942186356,0.4324013292789459,0.005613737739622593,0.010785349644720554,0.663964569568634,0.04432589188218117,0.0567830353975296,0.7099537253379822,0.0028201958630234003,0.0014957394450902939
16,0,n16_seed0,3,start_to_mid,0.0,0.5107421875,0.4638671875,-0.046875,0.0,0.0,0.0,0.5000091195106506,0.035869091749191284,0.06563829630613327,-0.727654755115509,0.005711880512535572,0.006855177227407694,0.5218189358711243,0.03539889305830002,0.06519138813018799,0.4719146490097046,0.0009403887088410556,0.003387607168406248
16,0,n16_seed0,3,mid_to_end,0.5,0.4638671875,0.4814453125,0.017578125,0.0,0.0,0.0,0.9053837060928345,0.049174197018146515,0.12158174812793732,-0.7132623791694641,0.005099944770336151,0.008027294650673866,0.9194658994674683,0.04842688515782356,0.12109356373548508,0.9986078143119812,0.006850481033325195,0.007350726053118706
16,0,n16_seed0,4,start_to_mid,0.0,0.3232421875,0.302734375,-0.0205078125,0.0,0.0,0.0,-0.0627787709236145,0.035523366183042526,0.04161927103996277,0.4112296402454376,0.0030335932970046997,0.010299374349415302,-0.12526676058769226,0.03445065766572952,0.039521776139736176,0.9986349940299988,0.008115369826555252,0.008007224649190903
16,0,n16_seed0,4,mid_to_end,0.5,0.302734375,0.3212890625,0.0185546875,0.0,0.0,0.0,-0.026324842125177383,0.06517758965492249,0.028190098702907562,0.5357576608657837,0.0012569732498377562,0.0010142704704776406,-0.0601181723177433,0.06473428755998611,0.02713811956346035,0.9995133876800537,0.007483986206352711,0.007561444770544767
16,1,n16_seed1,2,start_to_mid,0.0,0.5302734375,0.5166015625,-0.013671875,0.0,0.0,0.0,0.3729264736175537,0.05118543654680252,0.08317331224679947,0.2384859025478363,0.021384062245488167,0.02068966068327427,0.3863135576248169,0.045074932277202606,0.08018319308757782,0.9660243988037109,0.011442086659371853,0.00777123449370265
16,1,n16_seed1,2,mid_to_end,0.5,0.5166015625,0.513671875,-0.0029296875,0.0,0.0,0.0,-0.38056743144989014,0.037526778876781464,0.04751993715763092,-0.12090636044740677,0.00988527201116085,0.005154917947947979,-0.4111786484718323,0.035947564989328384,0.046964652836322784,0.9958398938179016,0.004279406275600195,0.005088481120765209
16,1,n16_seed1,3,start_to_mid,0.0,0.5029296875,0.5029296875,0.0,0.0,0.0,0.0,-0.17176873981952667,0.027490753680467606,0.03329984471201897,-0.25996050238609314,0.006562182679772377,0.0035230990033596754,-0.17413151264190674,0.026643851771950722,0.03308464214205742,0.9910567998886108,0.0016686540329828858,0.001368911238387227
16,1,n16_seed1,3,mid_to_end,0.5,0.5029296875,0.484375,-0.0185546875,0.0,0.0,0.0,-0.3748956620693207,0.10149571299552917,0.09783817827701569,0.7840381860733032,0.03289713338017464,0.024799220263957977,-0.4851813018321991,0.09588415920734406,0.09441874176263809,0.9162700176239014,0.005038630682975054,0.006512094754725695
16,1,n16_seed1,4,start_to_mid,0.0,0.3349609375,0.3701171875,0.03515625,0.0,0.0,0.0,-0.20458650588989258,0.07816631346940994,0.057271867990493774,-0.082480788230896,0.008266374468803406,0.00927598588168621,-0.20722192525863647,0.07770804315805435,0.05639810115098953,-0.21619439125061035,0.0017599029233679175,0.0036437709350138903
16,1,n16_seed1,4,mid_to_end,0.5,0.3701171875,0.314453125,-0.0556640625,0.0,0.0,0.0,0.08455751091241837,0.029314622282981873,0.03877639397978783,-0.31747907400131226,0.0031742339488118887,0.002923248801380396,0.0810617059469223,0.029009085148572922,0.0384824313223362,0.8183490633964539,0.002782843541353941,0.003763738786801696
16,2,n16_seed2,2,start_to_mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18034406006336212,0.06852253526449203,0.0823855772614479,0.07780168950557709,0.03764837235212326,0.03777594864368439,-0.2730732262134552,0.057048648595809937,0.07305040955543518,0.3913724720478058,0.004836265929043293,0.004898871295154095
16,2,n16_seed2,2,mid_to_end,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.06179427355527878,0.08173136413097382,0.07428897172212601,0.04169272631406784,0.03940126672387123,0.028928928077220917,0.08345239609479904,0.07143547385931015,0.06677791476249695,-0.9527963995933533,0.004952733404934406,0.014922394417226315
16,2,n16_seed2,3,start_to_mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4815498888492584,0.07134609669446945,0.045435089617967606,-0.34998878836631775,0.04835047200322151,0.016060205176472664,-0.5805302262306213,0.052352167665958405,0.04247865453362465,0.3698958456516266,0.0034274975769221783,0.0014076598454266787
16,2,n16_seed2,3,mid_to_end,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.01304531842470169,0.04498305544257164,0.04733870178461075,-0.6021774411201477,0.024049891158938408,0.019605666399002075,0.15182195603847504,0.037935443222522736,0.04290865361690521,0.9400489926338196,0.0024454521480947733,0.0039265151135623455
16,2,n16_seed2,4,start_to_mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12918487191200256,0.060635145753622055,0.0467708483338356,0.10430101305246353,0.02198113314807415,0.02357642352581024,-0.18632248044013977,0.05647515133023262,0.04030298441648483,0.6781083941459656,0.002001984976232052,0.002708151238039136
16,2,n16_seed2,4,mid_to_end,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5998373031616211,0.09578907489776611,0.06576985120773315,0.22828558087348938,0.009540899656713009,0.01398362684994936,0.6108297109603882,0.09502933919429779,0.06312306225299835,0.9528563022613525,0.007344657555222511,0.012066924944519997
16,3,n16_seed3,2,start_to_mid,0.0,0.5087890625,0.4921875,-0.0166015625,0.0,0.0,0.0,0.29234421253204346,0.040432874113321304,0.050020523369312286,-0.05074946582317352,0.00950402021408081,0.014075355604290962,0.308435320854187,0.03870660439133644,0.04783237725496292,0.992146909236908,0.006803655531257391,0.004000054206699133
16,3,n16_seed3,2,mid_to_end,0.5,0.4921875,0.5283203125,0.0361328125,0.0,0.0,0.0,0.9572754502296448,0.43759533762931824,0.31826579570770264,0.9873805046081543,0.20185521245002747,0.15200205147266388,0.9481081962585449,0.3715136647224426,0.27264508605003357,0.9985104203224182,0.11279061436653137,0.06207392364740372
16,3,n16_seed3,3,start_to_mid,0.0,0.5068359375,0.4541015625,-0.052734375,0.0,0.0,0.0,0.3489084839820862,0.09465013444423676,0.10135556012392044,0.6425835490226746,0.04903513938188553,0.025405287742614746,0.3198554217815399,0.08050714433193207,0.09802499413490295,0.6106186509132385,0.008532535284757614,0.004315221682190895
16,3,n16_seed3,3,mid_to_end,0.5,0.4541015625,0.5029296875,0.048828125,0.0,0.0,0.0,0.30055880546569824,0.06322266906499863,0.07643471658229828,0.4809790253639221,0.016186971217393875,0.027829868718981743,0.28324538469314575,0.06091596931219101,0.07109106332063675,0.4979686439037323,0.004932801239192486,0.0037182257510721684
