diversity,seed,target_phase,transition,previous_end_success,start_success,end_success,transfer_gap,specialization_gain,previous_end_depth6,start_depth6,end_depth6,transfer_gap_depth6,specialization_gain_depth6
4,0,2,d1->d2,0.73828125,0.3095703125,0.291015625,0.4287109375,-0.0185546875,0.0,0.0,0.0,0.0,0.0
4,0,3,d2->d3,0.291015625,0.5400390625,0.525390625,-0.2490234375,-0.0146484375,0.0,0.0,0.0,0.0,0.0
4,0,4,d3->d4,0.525390625,0.3515625,0.4013671875,0.173828125,0.0498046875,0.0,0.0,0.0,0.0,0.0
4,1,2,d1->d2,0.681640625,0.2880859375,0.2783203125,0.3935546875,-0.009765625,0.0,0.0,0.0,0.0,0.0
4,1,3,d2->d3,0.2783203125,0.541015625,0.5390625,-0.2626953125,-0.001953125,0.0,0.0,0.0,0.0,0.0
4,1,4,d3->d4,0.5390625,0.333984375,0.3740234375,0.205078125,0.0400390625,0.0,0.0,0.0,0.0,0.0
4,2,2,d1->d2,0.6962890625,0.2900390625,0.2841796875,0.40625,-0.005859375,0.0,0.0,0.0,0.0,0.0
4,2,3,d2->d3,0.2841796875,0.556640625,0.5302734375,-0.2724609375,-0.0263671875,0.0,0.0,0.0,0.0,0.0
4,2,4,d3->d4,0.5302734375,0.376953125,0.3828125,0.1533203125,0.005859375,0.0,0.0,0.0,0.0,0.0
4,3,2,d1->d2,0.650390625,0.267578125,0.3193359375,0.3828125,0.0517578125,0.0,0.0,0.0,0.0,0.0
4,3,3,d2->d3,0.3193359375,0.54296875,0.5498046875,-0.2236328125,0.0068359375,0.0,0.0,0.0,0.0,0.0
4,3,4,d3->d4,0.5498046875,0.376953125,0.3662109375,0.1728515625,-0.0107421875,0.0,0.0,0.0,0.0,0.0
4,4,2,d1->d2,0.68359375,0.2939453125,0.2724609375,0.3896484375,-0.021484375,0.0,0.0,0.0,0.0,0.0
4,4,3,d2->d3,0.2724609375,0.546875,0.5517578125,-0.2744140625,0.0048828125,0.0,0.0,0.0,0.0,0.0
4,4,4,d3->d4,0.5517578125,0.390625,0.38671875,0.1611328125,-0.00390625,0.0,0.0,0.0,0.0,0.0
16,0,2,d1->d2,0.3583984375,0.5126953125,0.509765625,-0.154296875,-0.0029296875,0.0,0.0,0.0,0.0,0.0
16,0,3,d2->d3,0.509765625,0.5107421875,0.4814453125,-0.0009765625,-0.029296875,0.0,0.0,0.0,0.0,0.0
16,0,4,d3->d4,0.4814453125,0.3232421875,0.3212890625,0.158203125,-0.001953125,0.0,0.0,0.0,0.0,0.0
16,1,2,d1->d2,0.3369140625,0.5302734375,0.513671875,-0.193359375,-0.0166015625,0.0,0.0,0.0,0.0,0.0
16,1,3,d2->d3,0.513671875,0.5029296875,0.484375,0.0107421875,-0.0185546875,0.0,0.0,0.0,0.0,0.0
16,1,4,d3->d4,0.484375,0.3349609375,0.314453125,0.1494140625,-0.0205078125,0.0,0.0,0.0,0.0,0.0
16,2,2,d1->d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2,3,d2->d3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2,4,d3->d4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,3,2,d1->d2,0.34765625,0.5087890625,0.5283203125,-0.1611328125,0.01953125,0.0,0.0,0.0,0.0,0.0
16,3,3,d2->d3,0.5283203125,0.5068359375,0.5029296875,0.021484375,-0.00390625,0.0,0.0,0.0,0.0,0.0
16,3,4,d3->d4,0.5029296875,0.322265625,0.2919921875,0.1806640625,-0.0302734375,0.0,0.0,0.0,0.0,0.0
16,4,2,d1->d2,0.345703125,0.50390625,0.50390625,-0.158203125,0.0,0.0,0.0,0.0,0.0,0.0
16,4,3,d2->d3,0.50390625,0.4736328125,0.52734375,0.0302734375,0.0537109375,0.0,0.0,0.0,0.0,0.0
16,4,4,d3->d4,0.52734375,0.3125,0.501953125,0.21484375,0.189453125,0.0,0.0,0.0,0.0,0.0
64,0,2,d1->d2,0.373046875,0.451171875,0.490234375,-0.078125,0.0390625,0.0,0.013793103448275862,0.0379746835443038,-0.013793103448275862,0.024181580096027937
64,0,3,d2->d3,0.490234375,0.443359375,0.390625,0.046875,-0.052734375,0.0379746835443038,0.0,0.0,0.0379746835443038,0.0
64,0,4,d3->d4,0.390625,0.3955078125,0.41015625,-0.0048828125,0.0146484375,0.0,0.0,0.0,0.0,0.0
64,1,2,d1->d2,0.3828125,0.5029296875,0.4794921875,-0.1201171875,-0.0234375,0.0,0.030303030303030304,0.014084507042253521,-0.030303030303030304,-0.01621852326077678
64,1,3,d2->d3,0.4794921875,0.4072265625,0.4140625,0.072265625,0.0068359375,0.014084507042253521,0.0,0.0,0.014084507042253521,0.0
64,1,4,d3->d4,0.4140625,0.40625,0.404296875,0.0078125,-0.001953125,0.0,0.0,0.0,0.0,0.0
